,feature,importance
12,origin_3,0.2414970757603708
11,origin_2,0.18527099894625157
0,cylinder,0.14564819225812994
1,displacement,0.10252943500430302
5,model_year,0.0935040261216062
2,horsepower,0.08213561008134486
3,weight,0.06572606652012654
10,origin_1,0.02881878985292423
9,acceleration_on_cylinder,0.01827542693630139
4,acceleration,0.014466249255593611
6,displacement_on_horsepower,0.009073070194795167
8,acceleration_on_horsepower,0.0077050881969202845
7,weight_on_cylinder,0.00534997087133236
